id,player_cost,first_name,second_name,player_form,status,minutes,player_position,goals_scored,assists,clean_sheets,expected_goals,expected_assists,goals_conceded,expected_goals_conceded,influence,creativity,threat,bonus,penalties_saved,saves,yellow_cards,red_cards,gw1_points,gw2_points,gw3_points,gw4_points,gw5_points,team_name,team_form,team_strength,total_points
1,5.4,Fábio,Ferreira Vieira,0.0,Unavailable,0,MID,0,0,0,0.00,0.00,0,0.00,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Arsenal,,5,0.0
2,6.8,Gabriel,Fernando de Jesus,0.3,Available,18,FWD,0,0,0,0.00,0.00,1,0.97,10.2,0.8,0.0,0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,Arsenal,,5,1.0
3,6.1,Gabriel,dos Santos Magalhães,8.0,Available,450,DEF,2,0,3,1.00,0.06,3,6.48,170.6,25.6,92.0,4,0,0,1,0,6.0,6.0,2.0,15.0,7.0,Arsenal,,5,36.0
4,8.1,Kai,Havertz,4.0,Available,450,FWD,2,1,3,1.63,0.12,3,6.48,136.0,60.4,144.0,5,0,0,0,0,12.0,2.0,8.0,2.0,2.0,Arsenal,,5,26.0
5,4.0,Karl,Hein,0.0,Unavailable,0,GKP,0,0,0,0.00,0.00,0,0.00,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Arsenal,,5,0.0
6,5.5,Jurriën,Timber,2.7,Available,358,DEF,0,0,2,0.07,0.05,2,5.24,41.6,17.2,21.0,0,0,0,2,0,1.0,6.0,1.0,5.0,2.0,Arsenal,,5,15.0
7,4.9,Jorge Luiz,Frello Filho,0.7,Available,90,MID,0,0,1,0.00,0.00,0,0.74,0.4,1.8,0.0,0,0,0,1,0,0.0,0.0,0.0,2.0,0.0,Arsenal,,5,2.0
8,4.8,Jakub,Kiwior,0.3,Available,16,DEF,0,0,0,0.00,0.00,1,0.99,5.2,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,Arsenal,,5,1.0
9,6.9,Gabriel,Martinelli Silva,3.0,Available,335,MID,0,1,3,0.25,0.80,1,4.33,68.0,114.1,70.0,0,0,0,0,0,3.0,3.0,1.0,3.0,5.0,Arsenal,,5,15.0
12,4.5,Ethan,Nwaneri,0.3,Available,4,MID,0,0,0,0.00,0.00,0,0.09,8.2,0.4,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,Arsenal,,5,1.0
13,8.2,Martin,Ødegaard,0.7,Injured,253,MID,0,0,2,0.46,0.74,1,2.93,34.4,75.0,60.0,0,0,0,1,0,3.0,2.0,2.0,0.0,0.0,Arsenal,,5,7.0
15,5.6,David,Raya Martin,5.0,Available,450,GKP,0,0,3,0.00,0.01,3,6.48,193.8,0.0,0.0,6,0,23,1,0,8.0,10.0,2.0,9.0,4.0,Arsenal,,5,33.0
